SMILES,Name,pIC50
CCN1CCC[C@H]1CNC(=O)c1c(Cl)c(Br)cc(O)c1OC,CHEMBL1276460,7.770062314
CCN1CCC[C@H]1CNC(=O)c1c(Cl)c(C)cc(O)c1OC,CHEMBL1276527,7.590066877
CCN1CCC[C@H]1CNC(=O)c1c(Cl)c(Cl)cc(O)c1OC,CHEMBL1276708,7.489991487
CCN1CCC[C@H]1CNC(=O)c1c(Cl)c(OC)cc(O)c1OC,CHEMBL1276709,7.150028088
CCN1CCC[C@H]1CNC(=O)c1c(Cl)ccc(O)c1OC,CHEMBL1276399,7.189969214
CCN1CCC[C@H]1CNC(=O)c1c(F)c(Br)cc(O)c1OC,CHEMBL1276740,8.150028088
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,CHEMBL8809,7.284309962
CCN1CCC[C@H]1CNC(=O)c1c(OC)c(O)cc(Br)c1OC,CHEMBL1276494,8.849857838
CCN1CCC[C@H]1CNC(=O)c1c(OC)c(O)cc(Br)c1[N+](=O)[O-],CHEMBL1276495,6.729997
CCN1CCC[C@H]1CNC(=O)c1c(OC)c(O)cc(Cl)c1OC,CHEMBL1276712,8.770062314
CCN1CCC[C@H]1CNC(=O)c1c(OC)c(O)cc(I)c1OC,CHEMBL1276325,9.540004744
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1Br,CHEMBL1276738,8.100015437
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1O,CHEMBL283099,8
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,CHEMBL22242,6.355954521
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(C)c1OC,CHEMBL1276645,8.280006174
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Cl)c1Br,CHEMBL1276374,8.250031916
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Cl)c1Cl,CHEMBL1276352,7.7000571
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(I)c1OC,CHEMBL23464,9.169989064
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(O)c1OC,CHEMBL1276400,8.059981845
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(SC)c1OC,CHEMBL1276326,8.960189446
CCN1CCC[C@H]1CNC(=O)c1c(OC)cccc1OC,CHEMBL282024,7.280006174
CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(O)c1OC,CHEMBL1276459,8.079981084
CCN1CCC[C@H]1CNC(=O)c1cc(Br)ccc1OC,CHEMBL1276268,7.339988779
CCN1CCC[C@H]1CNC(=O)c1cc(C)cc(O)c1OC,CHEMBL1276742,7.72010502
CCN1CCC[C@H]1CNC(=O)c1cc(Cl)cc(O)c1OC,CHEMBL1276426,7.410050399
CCN1CCC[C@H]1CNC(=O)c1cc(Cl)ccc1OC,CHEMBL1276238,6.589999287
CCN1CCC[C@H]1CNC(=O)c1cc(F)cc(O)c1OC,CHEMBL1276401,6.439997673
CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(O)c1OC,CHEMBL1276496,8.519993057
CCN1CCC[C@H]1CNC(=O)c1cc(OC)cc(O)c1OC,CHEMBL1276586,6.690008071
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL267044,7.193820026
CCN1CCC[C@H]1CNC(=O)c1cc([N+](=O)[O-])cc(O)c1OC,CHEMBL1276767,5.520000247
CCN1CCC[C@H]1CNC(=O)c1cccc(O)c1OC,CHEMBL1276269,6.499996932
CCN1CCc2cc3nc(N)sc3cc2CC1,CHEMBL2326489,4.721246399
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CHEMBL1232461,4
CCNC(=O)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccn1,CHEMBL4210637,7.424812155
CCNC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,CHEMBL3805772,6.935542011
CCNC(=O)c1ccnc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,CHEMBL4209705,7.1837587
CCNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,CHEMBL4218526,7.229147988
CCN[C@@H]1Cc2cc3nc(N)sc3cc2C1,CHEMBL2326486,6.173925197
CCO/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccccc1,CHEMBL213572,5
CCO/N=C(\CCN1CCN(c2ccc(OC)cc2)CC1)c1ccccc1,CHEMBL214203,5
CCO/N=C(\CCN1CCN(c2cccc(OC)c2)CC1)c1ccccc1,CHEMBL411545,5
CCO/N=C(\CCN1CCN(c2cccc(OCC)c2)CC1)c1ccccc1,CHEMBL215704,5
